SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LINGUA,ACERTOS_CN,ACERTOS_CH,ACERTOS_LC,ACERTOS_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO
GO,4,0,12,17,16,14,482.1,502.3,575,475.6,740
GO,2,0,19,26,26,15,594.8,584.9,615.9,555.5,760
GO,2,1,5,12,16,8,362.7,469.5,431.6,474.3,400
GO,4,0,24,38,31,27,648.7,667.4,750.9,595.3,840
GO,2,1,12,27,29,8,512.8,613.1,474.5,592,620
GO,2,1,19,29,28,13,564.1,612.6,568.1,582.9,720
GO,4,0,29,36,43,29,671,669.5,766.7,765.3,920
GO,2,0,12,18,17,15,381.5,533.7,632.5,483,940
GO,2,0,17,20,24,13,524.7,517,528,555.3,860
GO,1,0,20,31,26,24,605.2,634.1,719.4,572,760
GO,2,0,10,20,21,9,398.8,532.3,526.7,533.1,920
GO,4,0,16,23,22,10,567.2,571.8,496.5,526.4,860
GO,2,0,14,23,29,9,503.5,551,515,564.6,940
GO,1,1,14,15,27,6,512.7,491.3,407.4,553.7,500
GO,2,0,9,18,20,7,452,518.7,393.3,528,560
GO,2,0,9,14,18,13,465.4,464.1,550.3,516.7,760
GO,2,0,8,10,18,7,388.7,445.1,401.8,499,700
GO,2,1,12,17,16,10,501.2,518.7,440.1,494.8,840
GO,4,0,17,20,27,14,534,528.6,625,560.2,700
GO,2,0,10,21,23,9,472.6,537.8,487,532.2,460
GO,2,0,8,11,11,10,417,389.3,465.6,443,440
GO,2,1,6,13,13,11,408.4,430.7,421.6,472.7,760
GO,2,0,10,17,20,10,408.1,498.1,407.8,500.6,0
GO,4,0,19,30,31,26,593,630.5,719.8,585.2,940
GO,2,0,15,11,8,7,477.1,370.9,443,383.3,680
GO,2,1,8,7,12,13,424.4,395,454.8,436.6,0
GO,2,0,14,30,29,24,552.6,629.2,700.5,576,880
GO,2,0,11,11,18,10,418,428,474.4,502.3,440
GO,2,0,16,23,26,20,556.3,555.5,665.1,548.1,800
GO,4,0,30,35,32,27,672.1,660.5,742.3,597.2,860
GO,2,1,13,26,27,12,501.3,596.5,478.4,575.4,640
GO,2,0,20,30,30,33,572.4,616.6,783.1,600.2,840
GO,2,0,11,11,15,10,451.1,413.4,434.4,474.8,540
GO,2,1,10,14,11,11,452.6,442.9,517.5,454.2,500
GO,2,1,14,20,27,11,502.8,540.4,456.3,561.8,380
GO,2,1,8,10,21,11,447.8,408.3,495.4,496.6,520
GO,2,0,11,29,28,17,513.4,609.2,625.7,567.4,820
GO,2,1,10,25,21,5,441.4,561.8,414.6,539.3,920
GO,2,0,18,14,25,10,578.9,461,425.4,561.5,700
GO,4,0,24,33,33,24,614.2,642.1,706.2,593.2,960
GO,2,1,16,21,27,11,555,549.5,489.1,543.9,720
GO,2,1,8,7,13,7,438.8,300.7,378.5,450.4,640
GO,2,0,9,22,21,14,485.6,548.6,615.8,529.7,660
GO,4,0,21,34,32,36,612.2,646.1,824.8,608.6,940
GO,2,1,17,17,24,14,535.8,493.3,506.6,523.9,640
GO,2,1,13,18,13,7,473.2,524.4,428.9,456.6,600
GO,4,1,12,12,21,5,446.6,434.9,380.9,497.1,720
GO,2,1,9,15,20,14,436.3,442.9,568.8,481.7,680
GO,4,0,16,33,33,16,560.6,652.3,592.6,601.9,780
GO,2,1,9,15,14,12,431,462.1,456.2,447.7,520
GO,2,1,12,11,17,7,433.5,397.6,475.6,493.5,640
GO,2,1,12,17,21,11,486.6,497.4,443.3,540.8,640
GO,2,1,10,18,17,5,465,502.5,412.8,487.7,680
GO,2,0,9,25,28,11,472.8,570.2,496.4,574.7,840
GO,2,0,7,19,30,25,474,532.5,701.3,579.4,640
GO,2,0,14,12,26,15,512.9,459.7,480.9,557,840
GO,2,1,12,7,8,8,481.8,382,394.2,422,460
GO,2,1,7,11,11,5,421.8,379.2,483.4,425.5,600
GO,2,1,8,5,12,6,425,350.5,398.8,421,440
GO,2,1,10,6,15,4,403.4,385.5,452.8,434.7,680
GO,2,0,10,20,25,4,422.7,552,409.8,555.1,680
GO,2,1,13,15,20,3,521.2,501.8,403.4,514.2,280
GO,2,1,18,15,16,11,551.7,456.5,477.6,467.1,580
GO,2,1,11,9,19,14,479.4,366,547.9,517.1,800
GO,2,0,12,22,23,10,496.7,559.9,481.7,536.6,880
GO,2,0,12,23,23,11,398.2,566.1,433.2,528.3,440
GO,2,0,10,12,14,9,470.6,419,502.6,471.9,760
GO,2,0,16,40,38,19,567.1,725.9,679.3,639.6,880
GO,4,0,11,21,29,18,488.3,558.1,610.5,577.5,960
GO,2,1,6,14,17,9,400.2,471,487.3,500.2,480
GO,2,0,15,14,13,6,515.9,466.2,422,466.1,680
GO,4,0,21,36,32,27,592.8,663.2,728.7,603.8,960
GO,2,0,14,27,31,17,557.1,583.1,651.2,601.8,720
GO,2,1,11,8,16,8,421.1,380.4,395.2,494.8,860
GO,2,0,10,8,16,13,401.8,352.4,499.6,464.2,680
GO,2,0,6,8,13,14,384.5,351.6,479.1,413.8,0
GO,2,0,16,16,28,8,536.2,491.4,488.4,557.8,720
GO,2,1,11,11,15,11,452.7,394.7,520.9,480.4,560
GO,2,0,9,11,19,11,491,435.9,418.3,519.8,560
GO,2,0,21,32,32,18,578.5,641.7,653.2,608.4,800
GO,2,1,6,9,9,12,376.9,348.8,462.9,396.3,500
GO,4,0,35,39,34,43,710.4,727.5,926.4,625.5,900
GO,2,0,16,12,13,17,546.2,474.1,644.7,433.3,460
GO,1,0,13,23,21,12,443.5,558.4,502.9,534.5,660
GO,4,0,25,31,33,12,639.6,623.5,568.7,609,860
GO,2,0,16,19,24,13,557.9,515.7,614.8,546.5,900
GO,2,0,13,21,20,12,528.2,551,495,517.8,880
GO,3,1,15,26,24,20,554.1,589.9,666.5,551.1,660
GO,2,1,11,16,16,8,473.9,502.7,435.7,504.7,540
GO,2,0,12,11,9,13,468.4,376.4,460.2,374.8,540
GO,2,1,8,8,13,9,395.3,316.8,426.7,421.9,320
GO,2,0,14,28,24,18,500.1,583.1,591,567,860
GO,2,1,9,14,13,9,431,471.8,439,438.4,560
GO,2,0,9,22,23,7,437,547,394.1,535.2,700
GO,2,1,12,18,20,8,480.3,513.4,531.6,520,800
GO,2,1,15,0,0,10,568.1,0,535.1,0,480
GO,4,0,18,28,26,21,566.4,614.6,672.4,572.4,780
GO,2,0,9,11,15,10,452.8,382.2,550.7,469.5,580
GO,2,1,8,12,16,13,397.6,442.1,587.5,503.8,720
GO,2,0,20,23,23,20,581.4,567.4,656,533.7,780
GO,4,1,7,15,19,8,382.1,464.9,554.4,490.9,920
GO,2,0,12,7,9,5,502.1,392.9,390.7,402.7,400
GO,2,0,7,9,15,10,352.3,419.8,535.4,474.1,440
GO,2,1,14,8,25,6,535,360.2,434,565.7,740
GO,2,0,18,26,26,16,572.5,591.9,627.1,558.2,760
GO,2,1,12,12,19,11,477.8,386.1,448.8,535.8,740
GO,4,0,25,30,29,23,643.5,620.4,693.1,588.9,840
GO,2,0,9,19,25,9,482.1,512.4,448.5,562.7,880
GO,2,0,14,21,20,5,486.3,539.2,385.4,530.7,620
GO,4,1,10,22,20,8,504.7,553.6,485.6,512.6,780
GO,2,1,17,19,20,8,531.1,522.2,445.3,540.8,840
GO,2,1,8,13,15,9,402.1,418.4,532.2,455.7,460
GO,4,0,19,33,27,28,598.3,627.1,740.2,569.2,820
GO,2,0,16,30,33,17,559.6,604.1,641.7,598.1,880
GO,4,0,23,30,30,30,630,612.7,766,587.7,840
GO,2,1,7,10,13,5,385.8,425.1,379.2,442.2,0
GO,4,1,5,10,18,9,393.9,436.9,399.1,477.2,500
GO,4,0,23,31,31,24,598.3,627.4,689.5,601.3,840
GO,2,0,18,33,25,17,594.1,636.5,647.3,543.6,860
GO,2,1,14,13,20,6,447.3,435.5,407.8,513.4,460
GO,1,0,12,15,16,12,462,503.4,542,509.5,700
GO,4,0,9,31,28,15,408.2,621,609,573.7,840
GO,4,0,11,20,23,14,500.1,534.9,588.2,539.8,580
GO,4,1,10,15,25,10,478.3,496.5,518.7,562.1,920
GO,4,0,34,38,39,39,713.8,686.8,873.7,670.6,960
GO,2,1,14,21,20,5,528.6,555.4,450.6,530.4,620
GO,4,1,11,13,21,9,496.2,429.7,395.1,542.3,700
GO,2,0,11,22,20,14,467.7,550.8,647.9,513.8,880
GO,4,0,9,14,14,8,471.7,451.7,397.5,465.4,580
GO,2,1,11,13,17,12,513.6,427.1,556,512.2,440
GO,2,0,13,12,21,7,544.1,465.4,413.2,525.4,300
GO,1,0,17,24,27,12,540,568.3,534.3,564.7,680
GO,2,0,14,9,9,8,498.7,400.4,417.2,372,320
GO,2,1,13,14,18,11,478.6,479.2,532.6,505.7,740
GO,2,0,16,15,26,16,512.6,503.1,554,556,640
GO,2,1,7,19,21,7,399.3,535.8,418.7,528.7,480
GO,2,1,11,11,23,8,498.6,431.9,404.7,530.1,360
GO,2,1,10,14,17,12,434.5,476.7,435,510.4,760
GO,4,0,16,22,25,17,571.4,526.9,624.7,553.7,560
GO,2,0,16,19,20,16,549.5,529.1,554,535.7,680
GO,4,0,27,41,35,32,646.5,705.9,771.7,635.4,960
GO,4,0,27,37,36,33,647.4,692,803.5,645.3,900
GO,2,0,19,23,27,14,587.1,560.6,607.6,563.5,820
GO,4,0,19,35,28,26,594.5,681.8,705,578.2,780
GO,2,0,19,24,32,25,600.1,567.6,708.6,585.7,940
GO,2,1,8,16,16,11,379.2,493.4,526.5,449.9,400
GO,2,1,10,10,9,9,440.7,386,428.2,357.5,360
GO,2,0,11,19,22,10,418,524.2,478.5,525.1,880
GO,2,0,6,13,5,11,389.9,457.1,432,313.1,440
GO,2,0,12,17,26,11,501.3,497.4,530.2,548.5,640
GO,2,0,9,9,10,10,407.7,373.6,394.1,384.4,0
